pH,Latitude,Longitude,Location,Depth_m,Altitude_m,Salinity_PSU,Temperature_C,Oxygen_mg_L,Turbidity_NTU,Nitrate_mg_L,Chlorophyll_ug_L
7.54,-66.6443,-30.9969,Coral Sea,6379.2,1677.0,33.2,30.11,5.3,48.1,20.79,5.13
7.61,7.1507,-160.0945,South Pacific Ocean,9655.5,1292.5,39.08,5.09,9.35,62.52,34.16,3.74
7.93,20.7695,46.653,Southern Ocean,10242.9,2412.0,39.78,16.46,6.17,6.31,2.21,0.75
8.45,1.3869,-104.0245,Red Sea,6802.2,428.8,38.61,7.87,4.86,62.63,5.48,1.69
7.57,3.1675,-57.7842,Coral Sea,10612.4,174.3,33.13,14.14,7.65,73.01,43.55,8.47
8.22,-60.7709,-115.353,Southern Ocean,7256.8,298.2,38.72,26.29,1.91,63.29,23.67,2.47
8.01,17.7434,87.4733,Red Sea,10303.8,473.2,30.41,9.97,6.24,75.09,6.41,1.85
7.78,85.8206,19.0493,Southern Ocean,9413.2,1633.1,37.69,29.91,8.55,62.32,40.32,5.03
7.82,85.6475,-108.5775,Bering Sea,433.2,1478.3,39.42,4.36,9.97,82.04,7.86,5.11
7.52,-27.1541,-108.9922,Bering Sea,4458.7,-51.1,32.66,6.78,2.73,74.23,39.42,9.21
8.2,41.121,-98.1844,North Atlantic Ocean,4429.5,2901.5,30.14,18.82,1.86,87.69,37.43,5.69
7.6,-10.5171,165.1131,South Pacific Ocean,3580.3,-383.7,38.09,6.24,2.31,79.29,22.27,8.69
7.53,-65.2032,-9.2151,Southern Ocean,10987.5,1957.0,33.08,2.98,2.81,71.49,39.83,1.29
7.97,43.2683,154.5755,Southern Ocean,1627.7,-205.8,31.55,14.19,9.87,72.82,22.65,0.62
7.98,-28.0724,176.9256,Indian Ocean,2646.6,-153.4,31.22,9.45,3.47,68.5,33.34,1.95
8.15,46.9671,3.5787,Caribbean Sea,1049.2,2229.9,30.4,13.76,7.02,31.6,40.48,8.68
8.21,-21.7122,-149.3383,South Pacific Ocean,6292.4,1296.4,39.45,2.67,8.28,24.84,23.66,6.24
8.01,-58.4974,112.0183,Southern Ocean,9181.0,652.4,36.9,26.56,2.89,79.84,16.66,4.23
8.21,63.5437,39.768,Gulf of Mexico,2460.3,1917.7,34.11,31.17,3.89,92.56,42.61,2.42
7.75,-80.6646,-153.5224,Gulf of Mexico,6202.2,2467.5,37.19,8.45,1.21,88.02,18.32,6.18
7.64,-24.1971,-3.8323,South Atlantic Ocean,2153.3,1023.9,37.09,24.3,1.13,79.59,3.31,1.45
